"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Chemoil Corporation","Glencore","$27,000,000","$0","$27,000,000","2016","20160929","environment-related offenses","environmental violation","","The Department of Justice and the U.S. Environmental Protection Agency announced a settlement with Chemoil Corporation that required the company to retire 65 million renewable fuel credits to resolve alleged violations of the Renewable Fuel Standard (RFS) program.  Chemoil was also required to pay a $27 million civil penalty.","federal","agency action","Environmental Protection Agency referral to the Justice Department","civil","","","","","","","","","","","","Switzerland","","publicly traded","","financial services","commodity trading; mining","https://www.justice.gov/opa/pr/chemoil-agrees-pay-civil-penalty-27-million-and-retire-total-more-71-million-credits",""
"Sherwin Alumina Company, LLC","Glencore","$6,996","$0","$6,996","2013","20130612","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Texas","Gregory","","","","","Switzerland","","publicly traded","","financial services","commodity trading; mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Sherwin Alumina Company, LLC","Glencore","$13,600","$0","$13,600","2011","20110208","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Texas","Gregory","","","","","Switzerland","","publicly traded","","financial services","commodity trading; mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Sherwin Alumina Company, LLC","Glencore","$6,996","$0","$6,996","2014","20140709","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Texas","Gregory","","","","","Switzerland","","publicly traded","","financial services","commodity trading; mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Sherwin Alumina Company, LLC","Glencore","$23,229","$0","$23,229","2013","20130128","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Texas","Gregory","","","","","Switzerland","","publicly traded","","financial services","commodity trading; mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Sherwin Alumina Company, LLC","Glencore","$5,961","$0","$5,961","2014","20140114","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Texas","Gregory","","","","","Switzerland","","publicly traded","","financial services","commodity trading; mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Sherwin Alumina Company, LLC","Glencore","$6,996","$0","$6,996","2013","20130604","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Texas","Gregory","","","","","Switzerland","","publicly traded","","financial services","commodity trading; mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Sherwin Alumina Company, LLC","Glencore","$18,583","$0","$18,583","2013","20130126","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Texas","Gregory","","","","","Switzerland","","publicly traded","","financial services","commodity trading; mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Sherwin Alumina Company, LLC","Glencore","$6,996","$0","$6,996","2013","20130126","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Texas","Gregory","","","","","Switzerland","","publicly traded","","financial services","commodity trading; mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Sherwin Alumina Company, LLC","Glencore","$9,287","$0","$9,287","2016","20160223","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Texas","Gregory","","","","","Switzerland","","publicly traded","","financial services","commodity trading; mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Sherwin Alumina Company, LLC","Glencore","$10,457","$0","$10,457","2016","20160817","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Texas","Gregory","","","","","Switzerland","","publicly traded","","financial services","commodity trading; mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Sherwin Alumina Company, LLC","Glencore","$70,000","$0","$70,000","2015","20150707","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Texas","Gregory","","","","","Switzerland","","publicly traded","","financial services","commodity trading; mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Sherwin Alumina Company, LLC","Glencore","$5,000","$0","$5,000","2015","20150903","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Texas","Gregory","","","","","Switzerland","","publicly traded","","financial services","commodity trading; mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Sherwin Alumina Company, LLC","Glencore","$7,305","$0","$7,305","2016","20160203","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Texas","Gregory","","","","","Switzerland","","publicly traded","","financial services","commodity trading; mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Sherwin Alumina Company, LLC","Glencore","$14,401","$0","$14,401","2016","20160817","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Texas","Gregory","","","","","Switzerland","","publicly traded","","financial services","commodity trading; mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Sherwin Alumina Company, LLC","Glencore","$6,458","$0","$6,458","2015","20150722","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Texas","Gregory","","","","","Switzerland","","publicly traded","","financial services","commodity trading; mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Sherwin Alumina Company, LLC","Glencore","$46,250","$0","$46,250","2016","20160711","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Texas","Gregory","","","","","Switzerland","","publicly traded","","financial services","commodity trading; mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Sherwin Alumina Company, LLC","Glencore","$13,426","$0","$13,426","2016","20160914","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Texas","Gregory","","","","","Switzerland","","publicly traded","","financial services","commodity trading; mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Sherwin Alumina Company, LLC","Glencore","$9,287","$0","$9,287","2016","20160224","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Texas","Gregory","","","","","Switzerland","","publicly traded","","financial services","commodity trading; mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Sherwin Alumina Company, LLC","Glencore","$9,287","$0","$9,287","2016","20160224","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Texas","Gregory","","","","","Switzerland","","publicly traded","","financial services","commodity trading; mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Sherwin Alumina Company, LLC","Glencore","$14,401","$0","$14,401","2016","20160817","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Texas","Gregory","","","","","Switzerland","","publicly traded","","financial services","commodity trading; mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Sherwin Alumina Company, LLC","Glencore","$7,578","$0","$7,578","2015","20151002","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Texas","Gregory","","","","","Switzerland","","publicly traded","","financial services","commodity trading; mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Sherwin Alumina Company, LLC","Glencore","$8,421","$0","$8,421","2015","20151002","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Texas","Gregory","","","","","Switzerland","","publicly traded","","financial services","commodity trading; mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Sherwin Alumina Company, LLC","Glencore","$6,225","$0","$6,225","2016","20160202","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Texas","Gregory","","","","","Switzerland","","publicly traded","","financial services","commodity trading; mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
